N,		Read Flatmap (1 : 0 (read only))
8,		1077
16,		2111
32,		5096
64,		11833
128,		32267
256,		99645
512,		257286
1024,		652947
2048,		1404418
4096,		3090027
8192,		7173580
16384,		15977737
32768,		36175882
65536,		88721723
131072,		204621709
262144,		462126216
524288,		1468575333
1048576,		4733902983
2097152,		11971379686
4194304,		29706113411
8388608,		72059151877
16777216,		175633938536
33554432,		410059449824
