N,		Read Flatmap (1 : 1 (read, write))
8,		2590
16,		4610
32,		9409
64,		21129
128,		47171
256,		100894
512,		213492
1024,		455692
2048,		935798
4096,		1998468
8192,		4351008
16384,		9762040
32768,		22318511
65536,		51268708
131072,		123556531
262144,		312990289
524288,		788635880
1048576,		2125671158
2097152,		5553492639
4194304,		13030062123
8388608,		29396003482
16777216,		65418178302
33554432,		144702977256
