N,		Read Map (1 : 1 (read, write))
8,		4473
16,		9320
32,		20210
64,		45078
128,		102385
256,		235748
512,		511711
1024,		1133621
2048,		2522159
4096,		5758200
8192,		14693206
16384,		34121579
32768,		75975851
65536,		206505980
131072,		541692371
262144,		1319777489
524288,		3408242802
1048576,		8025098292
2097152,		17801765074
4194304,		40700775383
8388608,		93984654134
