N,		Read Map (1 : 0 (read only))
8,		877
16,		1936
32,		4661
64,		12508
128,		33612
256,		95025
512,		263000
1024,		610399
2048,		1442964
4096,		3526492
8192,		9084777
16384,		22521530
32768,		57411574
65536,		165499435
131072,		485196832
262144,		1494401784
524288,		3843019211
1048576,		9372891223
2097152,		23141876687
4194304,		49687216364
8388608,		116062236952
16777216,		255570979147
33554432,		590552809658
