N,		Read Flatmap (15 : 1 (read heavy))
16,		6337
32,		14997
64,		32311
128,		70856
256,		158996
512,		343358
1024,		819237
2048,		1843184
4096,		4312826
8192,		11252006
16384,		23873800
32768,		53203805
65536,		142532779
131072,		411561156
262144,		981908210
524288,		2390185241
1048576,		5511977272
